crop,maturity_days,mean_temp_gs_C,temp_flowering_C,seasonal_rain_mm,rain_flowering_mm,humidity_mean_pct,soil_pH,clay_pct,soil_N_status_kg_ha,soil_P_status_kg_ha,soil_K_status_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_K_kg_ha,irrigation_events,ndvi_flowering,ndvi_peak,ndvi_veg_slope,yield_t_ha,soil_moisture_pct
mustard,134,19.67,33.26,409.8,170.6,42.3,7.08,58.0,185.1,17.6,386.5,5.0,10.052318274201205,5.0,1,0.848,0.848,0.0058,0.430022364,19.42
soybean,107,20.66,28.95,331.3,179.8,62.4,6.51,7.9,220.0,13.8,362.1,5.0,14.8901506926874,5.0,0,0.55,0.727,0.0121,0.418810658,19.3
sunflower,100,27.32,12.72,669.3,185.1,56.4,7.79,17.4,172.0,22.7,138.3,5.0,28.772424065822836,5.0,5,0.854,0.854,0.0056,0.766452324,23.09
soybean,96,31.22,27.21,822.0,133.8,37.0,8.4,40.7,189.0,21.5,130.8,5.0,18.129848403698393,5.0,0,0.693,0.693,0.0034,0.418810658,19.3
niger seed,136,15.77,21.45,576.0,141.7,51.0,6.93,36.4,202.6,5.1,339.9,5.0,23.27498289816356,5.0,4,0.529,0.886,0.0146,0.518712854,20.39
mustard,112,23.56,14.63,905.3,36.2,42.7,7.87,7.6,184.4,28.5,395.2,5.0,15.350508402377686,5.0,0,0.775,0.775,0.0081,0.430022364,19.42
groundnut,142,12.08,18.9,836.3,91.8,57.5,6.49,6.9,87.8,25.9,247.1,24.056204394351788,26.221644410476767,5.0,2,0.789,0.789,0.0045,0.917762156,24.74
sunflower,100,31.36,31.85,526.0,169.7,63.1,4.61,15.3,97.9,31.6,200.2,47.49647617486848,34.230235265095196,6.1972985937455665,2,0.9,0.9,0.0063,1.471641735,30.78
mustard,133,15.38,25.1,838.9,24.7,75.4,7.28,15.1,152.4,15.9,375.1,5.0,19.4328580715003,5.0,4,0.804,0.804,0.0062,0.672268295,22.06
soybean,97,26.58,16.05,917.9,10.9,68.3,6.75,26.5,132.8,29.7,357.6,5.0,16.417751021485426,5.0,1,0.434,0.609,0.0069,0.418810658,19.3
soybean,116,14.28,17.75,305.4,246.7,80.1,6.56,12.1,153.1,8.2,236.3,5.0,15.469364976839625,5.0,5,0.661,0.729,0.0061,0.418810658,19.3
soybean,119,14.59,18.36,360.6,115.8,77.2,8.39,13.7,199.6,23.3,393.6,5.0,15.660781544999963,5.0,1,0.759,0.759,0.0027,0.418810658,19.3
soybean,100,16.69,10.42,652.5,75.4,44.7,6.04,8.5,139.4,19.0,190.3,64.37107718730535,56.891993426167744,34.479103047082916,4,0.9,0.9,0.0077,2.277282955,39.57
mustard,109,12.47,18.73,718.8,201.6,65.0,6.15,16.3,217.8,18.1,179.0,5.0,24.38885357968837,5.0,5,0.36,0.83,0.0277,0.430022364,19.42
castor,148,26.31,30.33,436.3,11.0,44.0,5.87,18.7,137.5,27.4,387.5,5.0,19.748916934286914,5.0,5,0.698,0.79,0.0059,0.720661995,22.59
groundnut,145,16.55,10.18,493.6,154.8,78.6,6.74,13.5,191.2,23.1,237.3,5.0,28.70949605978281,5.0,3,0.714,0.714,0.0021,0.853294961,24.04
sunflower,115,13.36,27.56,845.9,25.9,52.0,4.87,24.1,124.5,34.7,104.0,5.0,13.143403530089266,5.0,5,0.604,0.68,0.0091,0.332950619,18.36
soybean,108,28.58,17.28,449.0,74.4,62.7,6.92,29.2,165.9,25.6,324.7,10.836511565113012,34.7132336190919,5.0,0,0.546,0.872,0.0085,1.37684004,29.75
castor,137,16.23,23.67,544.1,116.2,50.2,6.17,55.9,85.5,27.9,117.0,54.32838934551854,32.67298426053382,31.96668904694874,2,0.732,0.732,0.0015,1.504751585,31.14
sunflower,111,27.16,13.98,930.6,36.8,43.8,4.87,37.0,210.5,38.9,269.9,5.0,16.062626437372376,5.0,4,0.9,0.9,0.0072,0.638599287,21.69
soybean,120,19.66,11.99,263.0,26.0,40.9,8.4,21.5,101.0,37.8,208.4,5.0,15.160856540314082,5.0,1,0.408,0.424,0.0036,0.418810658,19.3
sesame,121,29.44,26.7,816.0,203.1,46.1,8.02,31.2,137.8,39.2,153.5,5.0,7.0286882231062595,5.0,3,0.448,0.619,0.0079,0.438430763,19.51
soybean,103,26.87,20.7,740.5,143.5,36.9,6.67,24.6,155.9,31.3,145.3,51.312935276982095,51.38691468998767,38.915245946413144,5,0.795,0.795,0.0032,2.017620347,36.74
mustard,134,27.86,22.11,471.0,218.8,83.6,4.55,51.2,98.3,12.0,321.4,5.0,22.297750802642575,5.0,3,0.796,0.796,0.0031,0.430022364,19.42
soybean,124,22.86,21.61,457.6,156.6,36.0,7.9,16.8,133.1,5.8,254.6,64.45201437868586,57.19547066065641,18.61744278180666,5,0.841,0.886,0.0045,2.180956504,38.52
safflower,120,20.94,29.99,524.0,79.1,40.1,7.41,17.3,85.0,30.3,312.9,20.041794417201775,24.720176563551668,5.0,2,0.405,0.77,0.0165,0.782579974,23.26
mustard,107,26.59,27.05,689.1,56.6,77.2,5.31,56.3,125.2,18.0,251.8,5.0,16.407484491411125,5.0,1,0.323,0.405,0.0038,0.430022364,19.42
niger seed,137,16.82,18.26,381.0,115.3,87.4,6.99,15.8,159.3,9.6,184.1,5.0,28.72500962361346,5.0,4,0.869,0.869,0.0029,0.837119182,23.86
soybean,95,15.05,23.43,452.8,17.5,54.6,8.41,32.1,216.9,14.1,97.4,5.0,36.730586926445156,26.774361033826438,2,0.731,0.731,0.0026,1.078437446,26.49
soybean,120,15.93,16.68,370.0,187.8,37.6,6.34,48.8,80.5,32.4,250.4,38.709162382253766,20.332837914046213,5.0,3,0.775,0.775,0.0058,1.03969746,26.07
soybean,96,23.69,31.19,896.7,25.6,64.2,8.09,36.9,103.2,26.5,103.6,26.139754029316993,24.24347163806512,23.80541532760981,0,0.665,0.665,0.0031,1.02399206,25.9
sunflower,127,25.24,13.14,491.2,68.3,62.3,6.19,6.3,125.2,18.9,291.0,33.283405939085334,45.436852629901075,5.0,5,0.899,0.899,0.0035,1.560872501,31.75
mustard,136,27.76,29.57,490.4,137.9,73.0,7.34,31.9,167.9,23.8,263.1,5.0,26.289107248085177,5.0,5,0.735,0.847,0.0075,0.702369861,22.39
mustard,126,31.26,15.21,878.9,9.5,48.1,5.7,30.1,123.9,38.6,161.0,5.0,6.249580852262976,5.0,0,0.52,0.641,0.0102,0.430022364,19.42
sunflower,127,31.14,14.98,543.2,54.5,88.8,6.85,15.8,140.0,23.1,333.0,31.809025603806756,45.914727829448786,5.0,2,0.868,0.868,0.0024,1.565533809,31.81
sunflower,107,18.84,30.65,936.4,86.1,53.3,6.46,40.0,153.7,8.4,293.5,27.548933366479385,30.869872020663742,5.0,1,0.808,0.808,0.0032,1.480964352,30.88
groundnut,127,28.1,23.98,275.2,18.9,48.7,7.4,15.3,80.6,7.7,162.8,38.2174248127342,33.602101052910804,5.0,5,0.9,0.9,0.0049,1.031922815,25.98
sunflower,122,22.82,34.98,387.3,227.9,55.7,6.96,50.2,148.0,28.2,213.5,5.0,12.538211330806513,5.0,3,0.545,0.545,0.0057,0.332950619,18.36
mustard,137,25.94,31.09,823.2,39.9,79.8,4.9,22.8,137.8,25.0,162.7,5.0,11.601352703317236,5.0,1,0.379,0.43,0.0082,0.430022364,19.42
soybean,116,25.56,10.93,791.6,24.1,89.9,6.57,39.8,83.9,13.9,340.2,17.367319519180263,20.310557923801106,5.0,0,0.807,0.882,0.0041,0.714072173,22.52
soybean,122,17.65,33.32,408.3,194.0,80.4,6.56,9.1,184.5,22.9,352.9,5.0,12.158568015413941,5.0,5,0.326,0.722,0.0081,0.418810658,19.3
groundnut,131,31.02,34.22,772.1,124.3,84.6,5.43,22.2,90.1,8.9,253.7,9.0790924457772,17.844211379255633,5.0,4,0.43,0.69,0.0085,0.47365481,19.89
sunflower,116,12.64,33.65,928.4,200.1,66.7,6.27,9.8,103.7,17.6,135.8,5.0,21.550451578907353,5.0,4,0.537,0.682,0.011,0.332950619,18.36
mustard,133,16.39,17.05,765.7,204.1,73.1,4.9,47.0,128.4,12.2,331.6,5.0,20.230596194148113,5.0,4,0.352,0.707,0.0154,0.430022364,19.42
soybean,124,30.36,32.28,902.6,8.4,58.6,6.82,11.9,84.5,30.1,206.8,17.83495349637649,27.14956538927002,5.0,2,0.765,0.765,0.0042,0.798881331,23.44
groundnut,122,23.56,27.91,360.1,107.9,86.8,7.51,31.6,158.8,28.2,237.5,5.0,28.27833889194956,5.0,5,0.469,0.65,0.0063,1.144292718,27.21
sunflower,118,20.3,18.74,823.2,90.4,87.6,6.19,42.8,116.1,28.3,173.1,53.89015662233737,42.96131491782294,21.24144989288346,3,0.9,0.9,0.0026,1.714695687,33.43
sunflower,105,27.25,19.53,908.7,71.3,67.5,7.88,19.9,103.7,13.1,326.7,5.0,10.525694533244327,5.0,1,0.658,0.707,0.0071,0.332950619,18.36
sunflower,109,25.05,29.56,325.9,67.4,39.7,5.09,5.9,204.3,17.0,392.6,5.0,12.838979207041062,5.0,4,0.458,0.616,0.0063,0.332950619,18.36
sunflower,97,23.69,24.65,759.0,100.2,82.7,7.37,16.9,151.5,17.0,209.1,16.173018536778894,30.287546875448324,5.0,1,0.744,0.89,0.0129,1.174649783,27.54
mustard,118,24.86,11.9,318.4,97.1,76.5,7.04,23.5,126.4,5.4,379.7,5.0,20.286184982256003,5.0,0,0.691,0.791,0.0069,0.430022364,19.42
sunflower,105,13.68,32.83,570.5,206.3,70.6,6.87,11.2,88.1,24.5,252.8,12.68903752204001,17.22749233388728,5.0,5,0.615,0.888,0.0108,0.676555657,22.11
soybean,114,26.63,17.02,427.8,192.9,67.3,6.68,17.6,101.2,6.8,344.0,79.07248554148282,53.357269853326926,5.0,3,0.689,0.871,0.0169,2.180956504,38.52
groundnut,147,23.21,27.23,672.4,152.3,77.4,5.64,44.5,101.8,10.9,122.0,11.165950754217281,22.021932567056083,5.0,3,0.704,0.704,0.0014,0.575280181,21.0
groundnut,144,15.76,25.98,328.8,163.7,80.5,7.22,16.3,195.4,11.9,127.4,5.0,29.8673568751999,10.211825373442153,4,0.9,0.9,0.0036,1.020730593,25.86
groundnut,124,26.6,26.2,638.3,44.7,50.1,5.47,58.3,119.4,9.1,227.9,20.366663232674618,25.993254181576642,5.0,1,0.661,0.745,0.0073,0.933878955,24.92
mustard,119,31.55,13.89,616.2,219.4,72.1,7.74,23.1,136.8,30.5,341.8,5.0,10.05857989662751,5.0,2,0.527,0.527,0.0047,0.430022364,19.42
soybean,112,31.9,10.07,776.0,94.1,80.2,4.67,9.0,159.8,17.9,351.7,5.0,12.900442351518869,5.0,5,0.793,0.793,0.004,0.418810658,19.3
sunflower,109,19.11,11.62,283.0,36.7,64.1,7.48,33.3,124.9,30.4,311.7,11.73195042612886,27.313758230904913,5.0,0,0.693,0.693,0.0059,0.918943708,24.75
soybean,110,31.89,12.17,858.7,214.5,82.2,6.93,39.6,116.6,32.6,111.4,5.0,14.322194231214144,5.0,5,0.428,0.703,0.0108,0.418810658,19.3
sunflower,109,23.0,14.68,284.6,182.6,78.6,5.24,27.8,147.9,33.7,87.6,5.0,9.866496565811925,5.0,3,0.442,0.787,0.016,0.434167607,19.46
mustard,110,12.12,14.92,258.6,187.5,69.2,6.07,20.9,173.7,16.4,103.6,5.0,13.390467806341949,5.0,3,0.391,0.451,0.0076,0.430022364,19.42
groundnut,134,20.21,25.14,624.0,14.6,54.1,8.37,33.7,202.6,11.8,391.8,5.0,20.115795606055563,5.0,5,0.644,0.644,0.006,0.770472522,23.13
sunflower,96,26.2,29.19,872.5,8.4,42.5,7.31,13.7,176.9,10.9,225.2,5.0,24.217681293986892,5.0,2,0.625,0.778,0.0176,0.815063115,23.62
soybean,110,21.69,10.42,762.3,69.6,76.9,7.41,26.3,142.9,10.9,298.8,20.997000169491912,33.91398146772107,5.0,4,0.888,0.888,0.0046,1.164293631,27.43
sunflower,114,15.39,24.21,895.2,195.6,41.9,6.81,20.9,212.3,34.5,390.8,5.0,19.537294486048935,5.0,4,0.854,0.854,0.0046,0.902962078,24.58
sunflower,116,15.68,27.31,525.7,247.5,75.8,6.94,17.0,201.5,22.5,247.0,5.0,21.355436502338613,5.0,1,0.442,0.837,0.0179,0.332950619,18.36
niger seed,124,19.92,12.09,793.4,142.2,69.0,5.36,39.9,84.1,16.8,309.7,13.294179875020307,23.19725619868329,5.0,0,0.677,0.677,0.0093,0.642022941,21.73
soybean,109,18.95,22.09,355.4,151.7,60.5,8.18,34.2,109.7,7.0,322.4,18.89074590903809,27.639291121512176,5.0,5,0.873,0.873,0.0074,0.87112617,24.23
sesame,136,15.6,26.39,868.3,189.6,40.2,6.92,50.7,138.9,28.7,159.0,5.0,15.08913975543354,5.0,0,0.641,0.699,0.0058,0.477152569,19.93
niger seed,112,18.98,18.34,436.8,97.8,75.5,7.38,5.3,218.4,7.7,390.8,5.0,15.374951423554784,5.0,2,0.689,0.689,0.0029,0.560974058,20.85
sunflower,107,25.02,29.73,704.9,87.1,44.7,8.3,16.7,192.3,18.2,284.8,18.76704442414207,37.70771688835179,5.0,4,0.843,0.861,0.0031,1.637451143,32.59
groundnut,120,12.62,22.38,765.2,124.3,46.9,6.69,27.4,206.1,19.6,254.9,5.0,32.28692316023735,5.0,0,0.618,0.634,0.0036,0.956711087,25.16
mustard,136,26.46,21.23,922.1,60.9,78.9,6.66,15.1,100.9,27.2,310.8,45.79245931807825,41.43120465236422,5.0,0,0.9,0.9,0.0059,1.386105419,29.85
niger seed,134,31.85,34.12,391.0,70.3,35.6,4.89,17.2,204.7,34.3,335.6,5.0,5.0,5.0,3,0.763,0.859,0.0085,0.3,18.0
sunflower,98,27.06,34.59,757.1,239.2,70.1,8.29,31.3,132.6,27.4,279.9,5.0,18.660353112163314,5.0,1,0.541,0.877,0.0112,0.55935704,20.83
mustard,119,23.58,19.7,851.1,99.2,89.0,7.86,13.2,122.8,18.3,352.9,23.985119487784587,38.438512566579085,5.0,0,0.788,0.788,0.0038,1.214096473,27.97
niger seed,137,26.38,19.53,650.1,225.9,40.9,7.75,41.2,210.4,25.4,135.3,5.0,18.01101245977339,5.0,2,0.776,0.776,0.0046,0.655627575,21.88
mustard,108,14.45,28.77,297.9,167.2,61.4,5.5,20.2,196.0,36.1,342.1,5.0,18.165931777725405,5.0,5,0.3,0.593,0.0067,0.430022364,19.42
sunflower,106,24.25,20.88,833.0,196.3,47.6,5.07,34.2,84.6,36.9,203.1,24.964681306501568,24.0860876632853,5.0,1,0.553,0.553,0.0057,0.839701461,23.89
soybean,97,16.48,29.33,729.7,217.9,86.2,7.81,52.1,106.2,25.6,343.8,19.002197685905593,26.90898565593933,5.0,2,0.9,0.9,0.0069,0.921383449,24.78
soybean,108,27.7,23.25,302.2,207.1,52.3,7.71,30.7,94.0,37.3,373.1,8.859621824836925,14.968928262256451,5.0,2,0.593,0.777,0.0106,0.608322481,21.36
mustard,106,19.68,34.37,716.1,218.4,35.2,8.14,5.9,172.5,12.2,182.5,5.0,17.379720706460443,5.0,4,0.9,0.9,0.0027,0.430022364,19.42
soybean,109,28.33,20.92,309.2,80.4,78.6,6.1,34.7,218.0,30.5,253.0,5.0,11.3689198876764,5.0,0,0.494,0.608,0.0044,0.418810658,19.3
sunflower,114,18.71,26.59,909.4,180.2,48.7,6.82,32.0,213.2,24.4,120.7,5.0,21.614552048386656,5.578600207437045,0,0.365,0.418,0.0053,0.697198596,22.33
mustard,111,30.83,15.23,861.6,227.5,35.9,7.77,20.4,150.5,7.0,371.4,5.0,19.046427349737158,5.0,1,0.531,0.659,0.0147,0.430022364,19.42
mustard,127,31.17,12.23,820.4,170.5,70.1,6.71,7.3,127.9,23.9,243.1,5.0,12.986770203791163,5.0,3,0.373,0.63,0.0089,0.430022364,19.42
groundnut,119,15.51,19.66,657.7,113.0,51.7,6.52,17.8,115.6,33.3,304.7,47.720371131576705,31.134579344125278,5.0,0,0.607,0.841,0.0197,1.608546062,32.28
soybean,118,14.05,29.32,464.6,196.4,56.4,6.39,43.8,95.2,38.7,162.5,38.70101785472106,25.66282736819473,8.268484666073146,1,0.768,0.768,0.0018,1.098330952,26.71
mustard,118,13.87,23.63,379.9,195.9,35.0,7.33,30.6,142.6,24.0,94.9,5.0,10.690786307574628,5.0,0,0.397,0.855,0.011,0.430022364,19.42
mustard,122,22.41,12.33,402.3,213.8,80.4,8.3,17.3,208.2,23.1,276.8,5.0,10.469090162477581,5.0,3,0.44,0.821,0.0215,0.430022364,19.42
soybean,108,19.35,21.65,575.7,46.3,39.4,8.31,41.8,147.8,22.8,368.4,5.0,11.962841719885388,5.0,1,0.475,0.509,0.003,0.418810658,19.3
soybean,109,24.71,34.91,637.7,60.5,76.6,5.89,9.3,187.3,39.5,269.3,5.0,14.538675749836663,5.0,2,0.57,0.75,0.0062,0.418810658,19.3
niger seed,118,31.0,12.05,755.9,139.8,82.2,4.98,47.5,198.0,7.9,310.0,5.0,22.331270771485734,5.0,4,0.9,0.9,0.0044,0.829303754,23.77
mustard,109,28.87,20.36,831.4,186.8,64.9,6.91,26.9,138.6,32.6,358.9,5.0,9.479584365075826,5.0,4,0.9,0.9,0.0058,0.430022364,19.42
sunflower,108,22.82,14.95,400.1,48.8,72.2,7.41,32.5,149.4,17.1,312.0,30.257204513692606,38.87046950454674,5.0,2,0.657,0.691,0.003,1.342456895,29.37
groundnut,129,31.75,32.19,947.1,66.3,78.1,6.3,48.2,99.9,35.3,266.9,8.380614142353613,14.176157506406202,5.0,1,0.748,0.748,0.0013,0.646462709,21.78
castor,111,15.7,25.71,647.5,43.6,77.8,5.52,19.1,86.3,21.7,117.3,26.28271621510109,20.63696431053986,14.999143536230022,2,0.432,0.696,0.011,0.880592924,24.33
groundnut,124,24.49,23.5,696.4,229.9,50.5,6.77,19.0,185.4,10.2,366.2,5.0,37.38215805725916,5.0,5,0.883,0.883,0.0027,1.193986181,27.75
mustard,102,31.71,13.23,932.0,190.5,77.0,6.87,32.3,110.9,37.7,179.2,14.04138976828382,22.95737670148876,5.0,4,0.864,0.864,0.0036,0.954649647,25.14
mustard,136,31.18,11.41,890.4,134.2,68.3,5.32,51.8,94.9,25.8,284.3,5.84801535660858,14.555317726083873,5.0,5,0.888,0.888,0.0039,0.430022364,19.42
safflower,116,31.87,30.38,781.3,82.6,55.8,5.35,38.8,219.9,30.5,271.1,5.0,18.433056431212467,5.0,0,0.622,0.706,0.0071,0.700279128,22.37
mustard,138,31.18,29.29,724.2,98.1,61.9,7.79,17.3,184.2,34.9,257.2,5.0,14.131395589517846,5.0,4,0.336,0.873,0.0103,0.430022364,19.42
sunflower,121,19.64,26.07,602.1,27.1,77.0,6.31,17.0,193.9,10.7,341.8,5.0,42.16232153378777,5.0,5,0.793,0.827,0.0042,1.437680772,30.41
groundnut,121,14.63,16.32,678.7,243.5,62.0,4.75,9.3,128.5,30.7,205.4,5.0,17.681325199789008,5.0,3,0.9,0.9,0.0089,0.65004422,21.82
sesame,121,21.64,17.93,267.3,215.5,45.2,6.32,15.8,206.9,10.5,212.0,5.0,21.348182584307892,5.0,0,0.798,0.798,0.0045,0.876861527,24.29
groundnut,142,28.75,27.28,875.7,58.2,70.4,4.93,18.4,132.9,21.7,80.3,27.18951049082105,35.20544165018132,37.339985007500786,2,0.785,0.84,0.007,1.290239285,28.8
niger seed,134,25.67,28.28,419.1,24.1,87.6,7.37,6.1,114.6,9.2,175.7,12.792174945658912,21.544347995076425,5.0,1,0.568,0.607,0.0042,0.668653289,22.02
soybean,120,22.97,23.79,548.7,213.7,71.7,4.94,16.3,97.4,23.1,97.0,77.2045989819903,57.625837170449984,66.7602849734911,5,0.822,0.822,0.0026,2.22283757,38.98
sunflower,113,15.87,14.3,929.5,14.1,89.9,5.55,41.9,152.1,14.4,365.5,5.0,15.478827824609645,5.0,4,0.9,0.9,0.0032,0.538714101,20.6
sunflower,111,24.43,26.63,543.2,207.0,66.8,5.66,6.2,163.6,34.9,322.4,5.0,16.590186344170785,5.0,5,0.382,0.639,0.0104,0.67256025,22.06
mustard,129,28.18,22.05,655.6,12.0,78.4,6.48,15.8,99.9,10.4,373.4,5.0,11.601211289945738,5.0,1,0.818,0.818,0.0029,0.430022364,19.42
groundnut,114,21.05,27.68,497.0,115.6,50.8,5.44,22.6,83.1,32.8,143.6,26.82660330384209,29.039022053591886,5.0,0,0.827,0.828,0.0022,1.024759793,25.91
sunflower,127,19.76,24.67,846.3,202.2,45.9,6.08,25.1,126.5,23.2,300.3,6.255339096743502,28.026303231164192,5.0,5,0.607,0.607,0.003,0.813065411,23.6
sunflower,100,13.48,14.55,295.0,91.9,75.3,6.53,19.6,164.8,33.3,308.8,7.351020211468192,29.505877714439873,5.0,5,0.809,0.809,0.0041,1.275866771,28.65
castor,137,19.39,34.75,886.0,3.5,72.3,6.66,11.1,189.5,22.3,390.9,5.0,11.383080926816149,5.0,5,0.651,0.651,0.0017,0.3,18.0
mustard,123,26.98,33.83,876.4,3.1,50.4,6.23,15.4,110.6,30.0,287.5,5.0,10.30274334158945,5.0,0,0.76,0.76,0.0025,0.430022364,19.42
sunflower,108,27.37,21.39,629.0,24.3,35.5,6.06,18.8,153.3,11.3,263.7,5.0,12.283221860968364,5.0,2,0.41,0.522,0.0142,0.332950619,18.36
soybean,123,16.95,24.82,875.1,28.7,77.2,6.22,25.2,149.8,14.1,133.2,5.0,25.77875124981627,5.0,3,0.637,0.637,0.003,0.722448386,22.61
sunflower,105,25.11,30.27,251.5,156.1,45.8,6.45,6.8,141.6,25.2,337.1,5.0,11.197711876511335,5.0,5,0.393,0.804,0.0275,0.372904693,18.8
safflower,119,23.95,19.4,516.8,192.3,82.8,7.67,14.3,86.9,36.3,202.6,30.418635757741708,25.129311633680395,5.0,2,0.821,0.821,0.0041,0.933464858,24.91
sunflower,123,14.78,17.9,786.9,209.2,86.6,7.72,37.7,146.9,6.2,360.3,5.0,28.990613550655965,5.0,4,0.84,0.84,0.0034,0.922273214,24.79
mustard,111,12.47,32.32,326.8,120.0,55.9,4.76,26.3,201.6,22.6,396.5,5.0,17.867685052850316,5.0,4,0.691,0.691,0.0047,0.430022364,19.42
mustard,129,18.74,28.24,819.7,23.0,54.7,6.83,12.1,140.6,28.3,105.3,7.237352701701467,21.57295551380546,13.65520170646077,0,0.76,0.76,0.0043,0.852877688,24.03
sunflower,95,29.57,15.15,900.1,242.6,63.5,7.49,40.4,198.0,25.5,299.0,5.0,21.350663270611747,5.0,2,0.9,0.9,0.0031,0.555361632,20.79
sunflower,98,15.77,29.1,912.8,76.3,40.3,7.0,18.6,170.6,15.7,222.1,5.0,21.499171257543317,5.0,0,0.453,0.453,0.0012,0.332950619,18.36
groundnut,142,15.02,30.48,929.2,83.9,84.0,4.77,13.9,178.8,19.3,167.8,5.0,9.535075328718381,5.0,2,0.707,0.707,0.0119,0.455747256,19.7
soybean,105,30.56,14.45,290.9,93.3,53.4,8.13,33.4,173.1,6.4,269.9,5.0,17.57437408778761,5.0,3,0.771,0.771,0.0064,0.418810658,19.3
safflower,124,12.14,11.64,775.0,175.2,39.3,7.52,26.4,176.4,11.0,334.8,5.0,14.038149665298311,5.0,1,0.504,0.566,0.0102,0.3,18.0
mustard,123,28.42,11.65,695.1,75.2,47.6,6.48,34.1,137.1,18.6,237.9,5.0,17.269502852714446,5.0,0,0.816,0.816,0.0027,0.626399243,21.56
sesame,133,24.54,23.09,436.7,92.3,53.9,5.07,16.7,178.0,14.3,181.6,5.0,33.15899211917339,5.0,1,0.597,0.777,0.0094,1.110441449,26.84
mustard,137,31.62,18.71,785.0,45.0,64.2,7.18,35.9,200.0,32.6,203.8,5.0,17.31082121053404,5.0,4,0.392,0.468,0.0062,0.430022364,19.42
soybean,95,25.16,12.56,320.8,107.2,43.3,6.37,12.0,155.5,26.9,285.2,7.87200154134891,20.923363683832257,5.0,3,0.769,0.769,0.0023,1.091001765,26.63
mustard,125,21.53,25.85,507.0,7.7,65.3,5.27,19.6,120.2,27.1,83.8,5.0,6.0467234913503,7.803817991017786,4,0.421,0.642,0.0128,0.430022364,19.42
